iter	Logloss
0	0.6596326371
1	0.6311463562
2	0.6088585985
3	0.5865712851
4	0.5675308237
5	0.5521548429
6	0.5386960634
7	0.527648393
8	0.5160404897
9	0.5063328648
10	0.4986709074
11	0.4908199711
12	0.4832858069
13	0.4770147564
14	0.471060905
15	0.4663790193
16	0.4623473048
17	0.4577229886
18	0.4536949279
19	0.4497123239
20	0.4460985684
21	0.4437892324
22	0.4410428506
23	0.4385090279
24	0.4354678388
25	0.4334685005
26	0.4321095702
27	0.4302600476
28	0.4291736951
29	0.4275501152
30	0.4261481035
31	0.4246231231
32	0.4234300785
33	0.4222796761
34	0.4213730937
35	0.420230555
36	0.4192206479
37	0.4184925934
38	0.4179323943
39	0.417075639
40	0.416399677
41	0.4155164727
42	0.4149058419
43	0.4140258247
44	0.413286077
45	0.4127454976
46	0.4121537072
47	0.4114664578
48	0.4109643068
49	0.4104044969
50	0.4096215018
51	0.4087452407
52	0.4083386864
53	0.4076019773
54	0.4071956452
55	0.4067044176
56	0.4063523782
57	0.4059835262
58	0.4055958272
59	0.4052384492
60	0.4048275296
61	0.4045953386
62	0.4042818466
63	0.4039786764
64	0.4036148831
65	0.4033673473
66	0.4030923557
67	0.4026244229
68	0.4023092008
69	0.4020686477
70	0.4018397729
71	0.4017096024
72	0.4014290434
73	0.4010472978
74	0.4006641994
75	0.4003328923
76	0.4000277781
77	0.399777128
78	0.3995194782
79	0.3993319332
80	0.3990382376
81	0.3988348353
82	0.3985033155
83	0.3982807994
84	0.3980250832
85	0.3978212013
86	0.3975488006
87	0.397308276
88	0.3971650455
89	0.397001305
90	0.396804717
91	0.3965895406
92	0.3963657975
93	0.3961926584
94	0.3959166493
95	0.3956331373
96	0.3953311426
97	0.3950220604
98	0.3948765234
99	0.3946909073
