iter	Passed	Remaining
0	138	13674
1	141	6945
2	145	4689
3	148	3566
4	151	2886
5	155	2433
6	158	2111
7	162	1864
8	165	1672
9	168	1517
10	172	1392
11	175	1288
12	179	1199
13	182	1122
14	186	1054
15	189	995
16	193	942
17	196	895
18	200	853
19	203	814
20	207	781
21	211	750
22	215	720
23	218	692
24	222	667
25	226	644
26	229	621
27	233	599
28	236	580
29	240	561
30	243	542
31	247	526
32	251	510
33	255	496
34	259	481
35	262	466
36	265	452
37	269	439
38	272	426
39	276	414
40	279	402
41	283	391
42	289	383
43	292	372
44	295	361
45	298	350
46	302	341
47	305	331
48	308	321
49	312	312
50	315	303
51	319	294
52	322	285
53	325	277
54	328	268
55	332	260
56	335	253
57	339	245
58	342	238
59	346	231
60	350	223
61	353	216
62	357	209
63	361	203
64	364	196
65	368	189
66	371	183
67	375	176
68	379	170
69	383	164
70	386	157
71	390	151
72	394	145
73	399	140
74	402	134
75	406	128
76	409	122
77	413	116
78	417	110
79	420	105
80	424	99
81	428	94
82	432	88
83	436	83
84	439	77
85	443	72
86	447	66
87	451	61
88	454	56
89	458	50
90	461	45
91	465	40
92	468	35
93	472	30
94	476	25
95	479	19
96	483	14
97	486	9
98	490	4
99	494	0
